state,date,cases_new,cases_active,pop
Johor,2021-09-30,1241,23451,3781000
Kedah,2021-09-30,1033,6653,2185100
Kelantan,2021-09-30,1232,11009,1906700
Melaka,2021-09-30,194,4180,932700
Negeri Sembilan,2021-09-30,132,1617,1128800
Pahang,2021-09-30,697,9325,1678700
Perak,2021-09-30,913,11136,2510300
Perlis,2021-09-30,97,742,254900
Pulau Pinang,2021-09-30,763,9809,1773600
Sabah,2021-09-30,993,16063,3908500
Sarawak,2021-09-30,2487,35174,2816500
Selangor,2021-09-30,1940,23109,6538000
Terengganu,2021-09-30,726,7395,1259300
Kuala Lumpur,2021-09-30,258,4125,1773700
Labuan,2021-09-30,1,49,99600
Putrajaya,2021-09-30,28,393,110000
