date,state,beds_icu_covid
2021-06-01,Johor,114
2021-06-01,Kedah,73
2021-06-01,Kelantan,56
2021-06-01,Melaka,70
2021-06-01,Negeri Sembilan,44
2021-06-01,Pahang,52
2021-06-01,Perak,67
2021-06-01,Perlis,8
2021-06-01,Pulau Pinang,41
2021-06-01,Sabah,85
2021-06-01,Sarawak,106
2021-06-01,Selangor,244
2021-06-01,Terengganu,26
2021-06-01,W.P. Kuala Lumpur,121
2021-06-01,W.P. Labuan,11
2021-06-01,W.P. Putrajaya,8
2021-06-02,Johor,114
2021-06-02,Kedah,73
2021-06-02,Kelantan,56
2021-06-02,Melaka,70
2021-06-02,Negeri Sembilan,44
2021-06-02,Pahang,52
2021-06-02,Perak,67
2021-06-02,Perlis,8
2021-06-02,Pulau Pinang,41
2021-06-02,Sabah,85
2021-06-02,Sarawak,106
2021-06-02,Selangor,244
2021-06-02,Terengganu,26
2021-06-02,W.P. Kuala Lumpur,119
2021-06-02,W.P. Labuan,11
2021-06-02,W.P. Putrajaya,8
2021-06-03,Johor,114
2021-06-03,Kedah,73
2021-06-03,Kelantan,56
2021-06-03,Melaka,70
2021-06-03,Negeri Sembilan,44
2021-06-03,Pahang,52
2021-06-03,Perak,67
2021-06-03,Perlis,8
2021-06-03,Pulau Pinang,41
2021-06-03,Sabah,85
2021-06-03,Sarawak,106
2021-06-03,Selangor,244
2021-06-03,Terengganu,26
2021-06-03,W.P. Kuala Lumpur,119
2021-06-03,W.P. Labuan,11
2021-06-03,W.P. Putrajaya,8
2021-06-04,Johor,114
2021-06-04,Kedah,73
2021-06-04,Kelantan,56
2021-06-04,Melaka,70
2021-06-04,Negeri Sembilan,44
2021-06-04,Pahang,52
2021-06-04,Perak,67
2021-06-04,Perlis,8
2021-06-04,Pulau Pinang,43
2021-06-04,Sabah,85
2021-06-04,Sarawak,106
2021-06-04,Selangor,244
2021-06-04,Terengganu,26
2021-06-04,W.P. Kuala Lumpur,119
2021-06-04,W.P. Labuan,11
2021-06-04,W.P. Putrajaya,8
2021-06-05,Johor,114
2021-06-05,Kedah,73
2021-06-05,Kelantan,56
2021-06-05,Melaka,70
2021-06-05,Negeri Sembilan,44
2021-06-05,Pahang,52
2021-06-05,Perak,67
2021-06-05,Perlis,8
2021-06-05,Pulau Pinang,43
2021-06-05,Sabah,85
2021-06-05,Sarawak,106
2021-06-05,Selangor,250
2021-06-05,Terengganu,26
2021-06-05,W.P. Kuala Lumpur,119
